sample,condxrf_avg,condxrf_std,condxrf_count,manual,condxrfman_avg,condxrfman_std
0,2.0196696153182895e-07,7.12262353917907e-08,50,False,2.0196696153182895e-07,7.12262353917907e-08
1,2.0082490637500664e-07,1.453980738681421e-07,3,False,2.0082490637500664e-07,1.453980738681421e-07
2,7.071578337265556e-08,7.405797590212778e-08,12,False,7.071578337265556e-08,7.405797590212778e-08
3,4.5973336878980607e-07,1.1060401036346777e-07,57,False,4.5973336878980607e-07,1.1060401036346777e-07
4,2.869372035238344e-07,5.9392540826322535e-08,32,False,2.869372035238344e-07,5.9392540826322535e-08
5,1.1464061106241134e-09,,1,True,0.0,1e-07
6,3.999257287970477e-07,1.7855967924476913e-07,41,False,3.999257287970477e-07,1.7855967924476913e-07
7,2.1794061684562331e-07,1.0108409806169786e-07,22,False,2.1794061684562331e-07,1.0108409806169786e-07
8,4.923808210490127e-07,7.520342826067798e-08,43,False,4.923808210490127e-07,7.520342826067798e-08
9,9.997502296286065e-08,6.098768122668014e-08,38,False,9.997502296286065e-08,6.098768122668014e-08
10,3.770853804022921e-07,9.29454612860904e-08,46,False,3.770853804022921e-07,9.29454612860904e-08
11,3.9740001472696925e-07,6.425364859220083e-08,35,False,3.9740001472696925e-07,6.425364859220083e-08
12,4.0514798557683753e-07,4.9004806091456396e-08,35,False,4.0514798557683753e-07,4.9004806091456396e-08
13,4.918155350543559e-07,1.6266281794895288e-07,28,False,4.918155350543559e-07,1.6266281794895288e-07
14,2.735117962856803e-07,1.9152775048480888e-07,30,False,2.735117962856803e-07,1.9152775048480888e-07
15,1.2188897086164687e-08,1.364780852178004e-08,24,False,1.2188897086164687e-08,1.364780852178004e-08
16,3.908540010075752e-07,1.8005191910442855e-07,36,False,3.908540010075752e-07,1.8005191910442855e-07
17,3.6355173113725817e-07,6.280740289839356e-08,43,False,3.6355173113725817e-07,6.280740289839356e-08
18,8.04917438833068e-08,6.935435544140621e-08,6,False,8.04917438833068e-08,6.935435544140621e-08
19,5.31703455952576e-07,1.2374313853790872e-07,37,False,5.31703455952576e-07,1.2374313853790872e-07
20,4.5646667729827013e-07,1.4104686399862578e-07,36,False,4.5646667729827013e-07,1.4104686399862578e-07
21,7.292806177120691e-08,6.391058089510041e-08,16,False,7.292806177120691e-08,6.391058089510041e-08
22,3.674932074600125e-08,1.6069703846550975e-08,24,False,3.674932074600125e-08,1.6069703846550975e-08
23,,,0,True,0.0,1e-07
24,,,0,True,0.0,1e-07
25,,,0,True,0.0,1e-07
26,,,0,True,0.0,1e-07
27,,,0,True,0.0,1e-07
28,2.734179842928528e-07,4.007507981054577e-08,27,False,2.734179842928528e-07,4.007507981054577e-08
29,1.7586101282500483e-07,9.377338819200806e-08,18,False,1.7586101282500483e-07,9.377338819200806e-08
30,,,0,True,0.0,1e-07
31,3.3391564749897954e-07,2.3055170111789024e-07,15,False,3.3391564749897954e-07,2.3055170111789024e-07
32,4.3094961854857964e-07,1.26595425636095e-07,44,False,4.3094961854857964e-07,1.26595425636095e-07
33,7.91642333774304e-08,4.215715081867323e-08,44,False,7.91642333774304e-08,4.215715081867323e-08
34,5.773647782902691e-08,2.8764014510090864e-08,41,False,5.773647782902691e-08,2.8764014510090864e-08
35,5.627676171076168e-08,4.320904631598608e-08,10,False,5.627676171076168e-08,4.320904631598608e-08
36,6.620234863880088e-07,1.3262531837512228e-07,43,False,6.620234863880088e-07,1.3262531837512228e-07
37,7.727847025165885e-08,1.9793941228080584e-08,46,False,7.727847025165885e-08,1.9793941228080584e-08
38,,,0,True,0.0,1e-07
39,,,0,True,0.0,1e-07
40,2.780119423744751e-07,6.154576076698781e-08,26,False,2.780119423744751e-07,6.154576076698781e-08
41,2.77935878843506e-07,1.704789435641008e-07,27,False,2.77935878843506e-07,1.704789435641008e-07
42,8.297578047364031e-08,4.0445202229381314e-08,42,False,8.297578047364031e-08,4.0445202229381314e-08
43,2.6502888913987826e-07,6.834979468325077e-08,32,False,2.6502888913987826e-07,6.834979468325077e-08
44,4.301633536081042e-08,2.469007426711811e-08,38,False,4.301633536081042e-08,2.469007426711811e-08
45,1.2690711505618442e-07,9.25867914124853e-08,29,False,1.2690711505618442e-07,9.25867914124853e-08
46,1.0905601089336544e-07,2.4987177323975707e-08,38,False,1.0905601089336544e-07,2.4987177323975707e-08
47,3.516839631950531e-07,1.305317951384367e-07,38,False,3.516839631950531e-07,1.305317951384367e-07
48,3.500090190951109e-07,1.5790946424182383e-07,32,False,3.500090190951109e-07,1.5790946424182383e-07
49,5.313531320894165e-07,9.005483695214507e-08,39,False,5.313531320894165e-07,9.005483695214507e-08
50,5.722284817706412e-07,9.638530028313317e-08,42,False,5.722284817706412e-07,9.638530028313317e-08
51,2.0283454265951193e-07,4.768124054100576e-08,44,False,2.0283454265951193e-07,4.768124054100576e-08
52,1.5796581002362182e-07,1.1466110007536617e-07,27,False,1.5796581002362182e-07,1.1466110007536617e-07
53,3.956455280969065e-07,1.374324277810087e-07,24,False,3.956455280969065e-07,1.374324277810087e-07
54,7.518398290858448e-08,4.021658817741384e-08,11,False,7.518398290858448e-08,4.021658817741384e-08
55,1.8657517006171707e-07,5.818895883116152e-08,19,False,1.8657517006171707e-07,5.818895883116152e-08
56,7.377711140160054e-07,1.1134274230581267e-07,26,False,7.377711140160054e-07,1.1134274230581267e-07
57,,,0,True,0.0,1e-07
58,1.9378347145757484e-07,1.3328282564418856e-07,7,False,1.9378347145757484e-07,1.3328282564418856e-07
59,7.823754469206204e-08,1.4552927068535091e-08,31,False,7.823754469206204e-08,1.4552927068535091e-08
60,4.3784267025868053e-07,1.7756548832237895e-07,50,False,4.3784267025868053e-07,1.7756548832237895e-07
61,2.4714242854913775e-07,1.147725432359982e-07,40,False,2.4714242854913775e-07,1.147725432359982e-07
62,3.4018366458479575e-07,7.122659315424117e-08,18,False,3.4018366458479575e-07,7.122659315424117e-08
63,1.8284882325806364e-07,1.1485375492932401e-07,24,False,1.8284882325806364e-07,1.1485375492932401e-07
64,3.1882054043167245e-08,2.3952479112749223e-08,47,False,3.1882054043167245e-08,2.3952479112749223e-08
