Exp number,Type,Temperature (Â°C),Liquid flow rate (mL min^-1),Flue gas flow rate (sccm),Current density (mA cm^-2),FECO (%),CO2 capture efficiency (%),Electrolyzer UCO2 (%),Overall UCO2 (%)
1,init,25,30,235,188,50.7,12.8,73.8,9.4
2,init,50,40,219,257,39.6,18,60.1,10.8
3,init,45,55,155,229,44.2,24.9,60.8,15.2
4,init,30,70,122,171,59.6,25.7,75.5,19.4
5,init,40,80,38,167,32.4,47.9,69,33.1
6,init,40,15,90,200,36.8,26.7,71.2,19
7,init,60,30,58,286,33.8,56.3,70.7,32.5
8,init,70,95,187,114,23.7,13.5,24.8,3.4
9,opt,50,55,36,278,13.6,72.6,33.6,24.4
10,opt,75,50,35,286,25.9,65.3,75.2,49.1
11,opt,25,75,87,210,44.9,31.5,79.9,25.2
12,opt,80,15,35,300,24.3,60.2,80.3,48.4
13,opt,75,95,35,300,12.6,55.6,45.1,25.1
14,opt,55,10,35,300,18.9,53.3,70.6,37.6
15,opt,70,35,84,279,31.6,36.3,67.1,24.4
16,opt,25,60,155,171,39.9,16,63.9,10.2
17,opt,40,85,108,188,39.6,26.4,60.6,16
18,opt,25,70,35,273,32,67.3,86.1,58
19,opt,25,100,35,300,31.6,71.9,87.4,62.9
20,opt,40,80,35,300,32.7,77,84.5,65.1
21,opt,25,100,35,234,42.4,82.6,79.7,65.8
22,opt,35,100,35,258,36.8,78.9,79.8,63
23,opt,25,100,35,189,36.9,69.5,66.5,46.3
24,opt,25,60,35,201,41.4,72.4,76.2,55.2
25,opt,25,35,35,156,32.9,47.3,72,34
26,opt,25,100,35,126,31.9,40.7,65.5,26.7
27,opt,25,100,35,258,11.4,50.3,38.8,19.5
28,opt,40,80,35,240,22.2,61.6,57.4,35.3
29,opt,25,40,35,300,24.4,74.3,65.4,48.6
